INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
Henderson State University,Arkadelphia,AR,0.7564,480,568,483,558,NULL,NULL,1102,2965,20560
Hendrix College,Conway,AR,0.6996,580,690,570,670,NULL,NULL,1324,1104,62983
Hot Springs Beauty College,Hot Springs,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,NULL
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL
John Brown University,Siloam Springs,AR,0.7577,540,640,520,620,480,650,1237,1447,39802
Career Academy of Hair Design,Springdale,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184,NULL
Academy of Salon and Spa,Fort Smith,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL
Arkansas State University Mid-South,West Memphis,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,589,12469
Arkansas Northeastern College,Blytheville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,918,10586
New Tyler Barber College Inc,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL
North Arkansas College,Harrison,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1286,9962
Northwest Technical Institute,Springdale,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,181,8343
Ouachita Baptist University,Arkadelphia,AR,0.6143,530,630,530,620,NULL,NULL,1194,1524,38590
Arkansas State University Three Rivers,Malvern,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,525,11106
Ozarka College,Melbourne,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,818,10738
University of the Ozarks,Clarksville,AR,0.5019,450,510,420,540,400,520,1046,812,33866
University of Arkansas Community College-Morrilton,Morrilton,AR,0.7551,NULL,NULL,NULL,NULL,390,391,NULL,1651,9976
Philander Smith College,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,996,26302
Phillips Community College of the University of Arkansas,Helena,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,705,10415
Southeast Arkansas College,Pine Bluff,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1021,12782
Professional Cosmetology Education Center,El Dorado,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL
University of Arkansas-Pulaski Technical College,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4629,16961
University of Arkansas Hope-Texarkana,Hope,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,926,13054
University of Arkansas Community College Rich Mountain,Mena,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,524,11495
Paul Mitchell the School-Arkansas,Fayetteville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,NULL
Searcy Beauty College,Searcy,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL
Shorter College,N Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,221,18055
Williams Baptist University,Walnut Ridge,AR,0.5878,440,460,510,530,NULL,NULL,1062,512,28664
South Arkansas Community College,El Dorado,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1145,13528
Southern Arkansas University Main Campus,Magnolia,AR,0.6506,458,600,508,568,NULL,NULL,1085,3164,22579
Southern Arkansas University Tech,Camden,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,704,19101
Velvatex College of Beauty Culture,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL
University of Arkansas-Fort Smith,Fort Smith,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4883,16391
Academy of Art University,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6570,41945
Academy of Chinese Culture and Health Sciences,Oakland,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Avalon School of Cosmetology-Alameda,Alameda,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL
College of Alameda,Alameda,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4436,14821
Allan Hancock College,Santa Maria,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9029,10969
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,0.7847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,51203
Berkeley School of Theology,Berkeley,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Film Institute Conservatory,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Beauty College,West Covina,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL
American Career College-Los Angeles,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1567,NULL
American Conservatory Theater,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
American River College,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28666,12331
Antelope Valley College,Lancaster,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12334,12595
Art Center College of Design,Pasadena,CA,0.7084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2034,64316
Associated Technical College-Los Angeles,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,335,NULL
Associated Technical College-San Diego,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL
Azusa Pacific University,Azusa,CA,0.6748,520,630,510,630,NULL,NULL,1146,5128,53117
Bakersfield College,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19945,12415
Barstow Community College,Barstow,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2801,17218
Bellus Academy-Chula Vista,Chula Vista,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,239,NULL
Bethesda University,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,22018
Biola University,La Mirada,CA,0.6985,550,660,530,650,490,610,1198,4031,55950
Brownson Technical School,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL
Bryan University,Tempe,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1115,22092
Butte College,Oroville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9249,12772
California Institute of Integral Studies,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL
Cabrillo College,Aptos,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9800,15896
California Baptist University,Riverside,CA,0.7828,500,610,490,600,410,530,1096,8170,46261
California College of the Arts,San Francisco,CA,0.8503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1455,66348
University of California-Hastings College of Law,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California Institute of Technology,Pasadena,CA,0.0642,740,760,790,800,730,800,1557,938,72084
California Lutheran University,Thousand Oaks,CA,0.7142,540,630,530,620,490,600,1168,3077,58375
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,0.2842,620,700,620,740,NULL,NULL,1342,20453,28302
Alliant International University-San Diego,San Diego,CA,0.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,327,NULL
California State University-Bakersfield,Bakersfield,CA,0.8071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9750,16660
California State University-Stanislaus,Turlock,CA,0.8929,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9686,16549
California State University-San Bernardino,San Bernardino,CA,0.6856,460,550,450,540,NULL,NULL,985,17963,18313
California State Polytechnic University-Pomona,Pomona,CA,0.5459,500,620,510,650,NULL,NULL,1143,26373,21967
California State University-Chico,Chico,CA,0.7233,500,600,490,590,NULL,NULL,1089,16044,23888
California State University-Dominguez Hills,Carson,CA,0.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15328,14951
California State University-Fresno,Fresno,CA,0.5794,470,570,470,560,NULL,NULL,1030,21156,16494
California State University-Fullerton,Fullerton,CA,0.5269,510,600,520,600,NULL,NULL,1113,35087,17568
California State University-East Bay,Hayward,CA,0.7618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13104,21495
California State University-Long Beach,Long Beach,CA,0.3927,520,620,520,630,NULL,NULL,1146,32900,19239
California State University-Los Angeles,Los Angeles,CA,0.4781,450,540,440,540,NULL,NULL,979,22743,14728
California State University-Northridge,Northridge,CA,0.5934,460,570,450,560,NULL,NULL,1019,34713,19301
California State University-Sacramento,Sacramento,CA,0.8226,470,570,470,570,NULL,NULL,1035,28718,20173
