INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
Ohio State University-Main Campus,Columbus,OH,0.5374,600,690,650,770,560,660,1372,45657,26816
Ohio University-Eastern Campus,Saint Clairsville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,356,11969
Ohio University-Chillicothe Campus,Chillicothe,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1312,12138
Ohio University-Southern Campus,Ironton,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,894,11604
Ohio University-Lancaster Campus,Lancaster,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1219,11727
Ohio University-Main Campus,Athens,OH,0.8207,530,640,520,620,470,590,1167,20484,28490
Ohio University-Zanesville Campus,Zanesville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,866,11499
Ohio Valley College of Technology,East Liverpool,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,189,19971
Trinity Health System School of Nursing,Steubenville,OH,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,14200
Ohio Wesleyan University,Delaware,OH,0.673,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1489,60662
Otterbein University,Westerville,OH,0.8015,540,640,515,610,470,590,1167,2407,44695
Owens Community College,Perrysburg,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5496,11583
Paramount Beauty Academy,Portsmouth,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL
Cuyahoga Valley Career Center,Brecksville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL
Payne Theological Seminary,Wilberforce,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pontifical College Josephinum,Columbus,OH,0.6923,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,40050
Professional Skills Institute,Maumee,OH,0.8085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,355,37873
Firelands Regional Medical Center School of Nursing,Sandusky,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL
Rabbinical College Telshe,Wickliffe,OH,0.8333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,20200
Raphael's School of Beauty Culture Inc-Niles,Niles,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,181,NULL
Fortis College-Centerville,Centerville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,502,26965
University of Rio Grande,Rio Grande,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,755,41195
The Modern College of Design,Kettering,OH,0.9137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,211,36298
Shawnee State University,Portsmouth,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2981,19124
Sinclair Community College,Dayton,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14538,9580
Hussian College-Daymar College Columbus,Columbus,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,25770
Stark State College,North Canton,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7767,10519
Stautzenberger College-Maumee,Maumee,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,503,22248
Franciscan University of Steubenville,Steubenville,OH,0.7664,570,670,520,630,NULL,NULL,1215,2138,38525
Southern State Community College,Hillsboro,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1116,11652
Terra State Community College,Fremont,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1385,16441
Tiffin Academy of Hair Design,Tiffin,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL
Tiffin University,Tiffin,OH,0.689,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1901,38783
University of Toledo,Toledo,OH,0.964,500,620,500,620,430,560,1142,14396,24920
Tri-State Bible College,South Point,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL
Tri-County Adult Career Center,Nelsonville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL
Tri-Rivers Career Center,Marion,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,144,NULL
Union Institute & University,Cincinnati,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,604,27180
United Theological Seminary,Dayton,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Upper Valley Career Center,Piqua,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL
Ursuline College,Pepper Pike,OH,0.8527,483,558,470,548,415,565,1044,633,43873
The North Coast College,Lakewood,OH,0.5172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,28930
Walsh University,North Canton,OH,0.7621,460,600,495,610,NULL,NULL,1128,1752,41609
Washington State Community College,Marietta,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,943,11308
Wilberforce University,Wilberforce,OH,0.3905,351,442,383,401,320,398,880,537,23250
Wilmington College,Wilmington,OH,0.7818,450,580,480,580,NULL,NULL,1063,1226,37559
Winebrenner Theological Seminary,Findlay,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wittenberg University,Springfield,OH,0.913,510,610,515,590,NULL,NULL,1158,1525,52584
The College of Wooster,Wooster,OH,0.5466,580,680,570,700,540,650,1282,1942,63962
Wright State University-Main Campus,Dayton,OH,0.9545,493,618,480,618,430,570,1100,8651,22015
Wright State University-Lake Campus,Celina,OH,0.9938,460,500,405,490,385,440,1083,1314,15475
Xavier University,Cincinnati,OH,0.7637,540,640,530,640,480,590,1204,5009,54310
Youngstown State University,Youngstown,OH,0.6739,490,590,480,590,NULL,NULL,1083,9705,18556
Bacone College,Muskogee,OK,0.7201,412,530,350,455,NULL,NULL,875,275,35150
Oklahoma Wesleyan University,Bartlesville,OK,0.5751,450,580,480,560,390,500,1057,864,39714
Southern Nazarene University,Bethany,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1616,36767
Pontotoc Technology Center,Ada,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,NULL
Cameron University,Lawton,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3466,15452
Carl Albert State College,Poteau,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1475,11817
Central Oklahoma College,Oklahoma City,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304,NULL
University of Central Oklahoma,Edmond,OK,0.841,NULL,NULL,NULL,NULL,NULL,NULL,1105,12619,23617
Connors State College,Warner,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1804,16631
East Central University,Ada,OK,0.5934,470,580,460,560,NULL,NULL,1049,2719,16662
Eastern Oklahoma State College,Wilburton,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1095,12196
Redlands Community College,El Reno,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1057,14952
Enid Beauty College,Enid,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL
Eves College of Hairstyling,Lawton,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL
Randall University,Moore,OK,0.4396,410,490,410,490,NULL,NULL,1070,309,26935
Langston University,Langston,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2011,20050
Murray State College,Tishomingo,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1481,15933
Spartan College of Aeronautics and Technology,Tulsa,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,673,31928
Northeastern State University,Tahlequah,OK,0.9961,443,555,453,545,NULL,NULL,1082,5868,16921
Beauty Technical College Inc,Tahlequah,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL
Northern Oklahoma College,Tonkawa,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2367,12109
Northeastern Oklahoma A&M College,Miami,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1581,15715
Northwestern Oklahoma State University,Alva,OK,0.6255,460,570,460,550,NULL,NULL,1033,1578,16501
Oklahoma State University Center for Health Sciences,Tulsa,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Oklahoma Christian University,Edmond,OK,0.6655,510,640,500,600,490,580,1170,1710,36479
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,813,NULL
Oklahoma Panhandle State University,Goodwell,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1132,16208
Oklahoma State University-Main Campus,Stillwater,OK,0.6998,540,640,520,640,NULL,NULL,1209,19777,23947
Oklahoma State University-Oklahoma City,Oklahoma City,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4649,11820
Oklahoma Baptist University,Shawnee,OK,0.5748,490,620,500,600,NULL,NULL,1139,1693,41404
Oklahoma City Community College,Oklahoma City,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10560,12176
Oklahoma City University,Oklahoma City,OK,0.7464,570,660,530,640,473,580,1223,1583,43184
University of Oklahoma-Norman Campus,Norman,OK,0.8041,560,650,550,660,NULL,NULL,1236,21329,29007
Oklahoma State University Institute of Technology,Okmulgee,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2067,12456
Oral Roberts University,Tulsa,OK,0.6829,498,630,490,610,NULL,NULL,1105,3098,42624
Rogers State University,Claremore,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3085,21359
Rose State College,Midwest City,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5322,14104
Jenks Beauty College,Jenks,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,111,NULL
University of Science and Arts of Oklahoma,Chickasha,OK,0.6447,395,500,420,510,NULL,NULL,1083,781,19425
Seminole State College,Seminole,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1186,17455
Southern School of Beauty Inc,Durant,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Southeastern Oklahoma State University,Durant,OK,0.7372,NULL,NULL,NULL,NULL,NULL,NULL,1065,2966,15973
Southwestern Christian University,Bethany,OK,0.6206,475,545,425,540,410,560,982,492,28402
Southwestern Oklahoma State University,Weatherford,OK,0.9107,NULL,NULL,NULL,NULL,NULL,NULL,1085,3898,20680
Tulsa Community College,Tulsa,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13752,12157
Tulsa Welding School-Tulsa,Tulsa,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,742,NULL
University of Tulsa,Tulsa,OK,0.3584,550,670,540,690,NULL,NULL,1276,3232,57427
Western Oklahoma State College,Altus,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,951,13953
Formations Institute of Cosmetology & Barbering,Woodward,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL
High Plains Technology Center,Woodward,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL
Paul Mitchell the School-Portland,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,NULL
Blue Mountain Community College,Pendleton,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1243,16076
Central Oregon Community College,Bend,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4358,16233
Chemeketa Community College,Salem,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8059,9788
Clackamas Community College,Oregon City,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5484,9594
Clatsop Community College,Astoria,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,620,13357
College of Hair Design Careers,Salem,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL
Concorde Career College-Portland,Portland,OR,0.9623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,404,NULL
Concordia University-Portland,Portland,OR,0.5731,500,580,500,580,NULL,NULL,1070,1564,42134
Sumner College,Portland,OR,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,329,NULL
East West College of the Healing Arts,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,234,NULL
Eastern Oregon University,La Grande,OR,0.9798,470,585,460,560,400,490,1040,2632,21549
New Hope Christian College-Eugene,Eugene,OR,0.9762,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,25930
George Fox University,Newberg,OR,0.8239,520,640,510,630,460,590,1151,2611,49746
Phagans Grants Pass College of Beauty,Grants Pass,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL
Lane Community College,Eugene,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6810,12734
Lewis & Clark College,Portland,OR,0.7216,630,710,590,690,NULL,NULL,1326,1901,66388
Linfield University-McMinnville Campus,McMinnville,OR,0.8172,520,620,520,610,460,560,1140,1383,58594
Linn-Benton Community College,Albany,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5490,13868
Northwest College-Beaverton,Beaverton,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL
Phagans Medford Beauty School,Medford,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL
Northwest College-Clackamas,Happy Valley,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL
Mount Angel Seminary,Saint Benedict,OR,0.8571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,37628
Mt Hood Community College,Gresham,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4731,12281
Multnomah University,Portland,OR,0.5263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362,41182
National University of Natural Medicine,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL
Bushnell University,Eugene,OR,0.6582,490,600,483,590,430,540,1070,559,41215
Oregon Health & Science University,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,776,NULL
Oregon Institute of Technology,Klamath Falls,OR,0.971,500,600,500,600,440,540,1114,3566,23237
Oregon State University,Corvallis,OR,0.8233,550,660,530,660,470,590,1202,25339,26631
University of Oregon,Eugene,OR,0.818,560,660,540,650,NULL,NULL,1210,18743,26205
Pacific Northwest College of Art,Portland,OR,0.8869,NULL,NULL,NULL,NULL,NULL,NULL,NULL,506,53595
Pacific University,Forest Grove,OR,0.8661,540,630,520,630,NULL,NULL,1156,1768,59490
Phagans Beauty College,Corvallis,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL
Phagans Central Oregon Beauty College,Bend,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103,NULL
Phagans School of Beauty,Salem,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
Phagans School of Hair Design,Happy Valley,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,167,NULL
Summit Salon Academy-Portland,Tigard,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL
Portland Community College,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23126,14613
Portland State University,Portland,OR,0.958,500,630,500,590,440,560,1099,17774,20613
University of Portland,Portland,OR,0.7665,580,670,570,680,NULL,NULL,1250,3773,61562
Reed College,Portland,OR,0.3947,670,750,655,770,640,730,1433,1429,73128
Rogue Community College,Grants Pass,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4232,14324
Pioneer Pacific College,Beaverton,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,740,23980
Southern Oregon University,Ashland,OR,0.782,490,620,490,580,NULL,NULL,1093,3787,17015
Southwestern Oregon Community College,Coos Bay,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1411,15050
Treasure Valley Community College,Ontario,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1442,14299
Umpqua Community College,Roseburg,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2132,15898
Warner Pacific University,Portland,OR,0.9744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,392,31919
Corban University,Salem,OR,0.851,510,640,500,600,460,590,1128,933,45537
College of Cosmetology,Klamath Falls,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL
Western Seminary,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Willamette University,Salem,OR,0.7792,NULL,NULL,NULL,NULL,550,650,NULL,1479,64205
Western Oregon University,Monmouth,OR,0.8459,480,590,480,570,410,510,1057,4326,23290
University of Western States,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
Jolie Hair and Beauty Academy-Hazleton,Hazleton,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL
Bryn Athyn College of the New Church,Bryn Athyn,PA,0.9176,470,570,470,540,388,530,1021,283,32620
Academy of Vocal Arts,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Albright College,Reading,PA,0.8516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1707,59836
All-State Career School,Essington,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,684,NULL
Community College of Allegheny County,Pittsburgh,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13878,13615
Allegheny College,Meadville,PA,0.6215,590,680,580,680,NULL,NULL,1272,1731,62966
The  Beauty Institute,Allentown,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL
DeSales University,Center Valley,PA,0.7882,520,640,510,620,450,580,1154,2437,52637
Altoona Beauty School Inc,Altoona,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL
Alvernia University,Reading,PA,0.6422,480,570,463,560,420,530,1044,2092,48854
The Beauty Institute-Ambler,Ambler,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123,NULL
American College of Financial Services,King of Prussia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6616,NULL
Automotive Training Center-Exton,Exton,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,321,NULL
Clarks Summit University,Clarks Summit,PA,0.4058,NULL,NULL,NULL,NULL,NULL,NULL,NULL,536,32589
Community College of Beaver County,Monaca,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1548,12964
Arcadia University,Glenside,PA,0.6567,520,640,510,620,480,590,1154,1987,58762
Missio Theological Seminary,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bidwell Training Center Inc,Pittsburgh,PA,0.8852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164,NULL
Bloomsburg University of Pennsylvania,Bloomsburg,PA,0.8421,480,580,470,570,420,520,1051,7552,24230
Bryn Mawr College,Bryn Mawr,PA,0.3307,NULL,NULL,NULL,NULL,630,730,NULL,1381,70860
Bucknell University,Lewisburg,PA,0.3423,620,700,635,730,590,690,1355,3608,72750
Bucks County Community College,Newtown,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6790,11764
Bucks County School of Beauty Culture Inc,Feasterville,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL
Butler Beauty Academy,Butler,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL
Butler County Community College,Butler,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2626,10350
Cabrini University,Radnor,PA,0.7583,500,590,500,590,NULL,NULL,1099,1506,45618
California University of Pennsylvania,California,PA,0.9713,460,560,450,540,390,490,1012,4756,25437
Carlow University,Pittsburgh,PA,0.9182,500,590,480,563,420,530,1072,1288,42060
Carnegie Mellon University,Pittsburgh,PA,0.1544,700,760,760,800,670,760,1513,6535,72265
Cedar Crest College,Allentown,PA,0.6087,493,600,470,580,410,520,1073,1200,50609
Central Penn College,Summerdale,PA,0.8434,NULL,NULL,NULL,NULL,320,410,NULL,1025,26400
Chatham University,Pittsburgh,PA,0.6219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1152,51851
Chestnut Hill College,Philadelphia,PA,0.6493,468,560,450,540,420,530,1009,1174,51741
Cheyney University of Pennsylvania,Cheyney,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,587,23533
Citizens School of Nursing,Tarentum,PA,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164,NULL
Clarion University of Pennsylvania,Clarion,PA,0.9504,470,570,470,560,400,490,1037,3645,25977
DLP Conemaugh Memorial Medical Center,Johnstown,PA,0.7969,NULL,NULL,NULL,NULL,NULL,NULL,NULL,207,NULL
Curtis Institute of Music,Philadelphia,PA,0.0393,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131,23790
Delaware County Community College,Media,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10703,16187
Delaware Valley University,Doylestown,PA,0.9272,490,600,480,570,410,540,1077,1769,55268
Dickinson College,Carlisle,PA,0.4006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2098,71182
Pennsylvania State University-Dickinson Law,Carlisle,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Douglas Education Center,Monessen,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,208,33033
Drexel University,Philadelphia,PA,0.747,590,680,600,710,NULL,NULL,1295,15287,67955
Duquesne University,Pittsburgh,PA,0.7433,570,650,560,650,NULL,NULL,1221,5837,53904
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,0.847,460,560,450,540,400,500,1007,5323,25172
Eastern University,Saint Davids,PA,0.6112,530,620,500,610,NULL,NULL,1137,1736,47972
Edinboro University of Pennsylvania,Edinboro,PA,0.8332,490,590,480,570,400,500,1065,3244,21967
Elizabethtown College,Elizabethtown,PA,0.8082,550,640,530,650,NULL,NULL,1188,1688,59835
Empire Beauty School-Lebanon,Lebanon,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL
Empire Beauty School-York,York,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL
Empire Beauty School-Lancaster,Lancaster,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL
Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL
Empire Beauty School-Pottsville,Pottsville,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL
Empire Beauty  School-Lehigh Valley,Whitehall,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,NULL
Empire Beauty School-Gwinnett,Lawrenceville,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL
Empire Beauty School-Wyoming Valley,Moosic,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,126,NULL
Empire Beauty School-Harrisburg,Harrisburg,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL
Empire Beauty School-Reading,Reading,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,NULL
Erie Institute of Technology Inc,Erie,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,225,26551
Evangelical Theological Seminary,Myerstown,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Faith Theological Seminary,Baltimore,MD,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,23560
Franklin and Marshall College,Lancaster,PA,0.3039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2309,73032
Gannon University,Erie,PA,0.7552,520,620,510,620,NULL,NULL,1135,2866,44896
Geneva College,Beaver Falls,PA,0.5323,520,630,500,610,430,560,1142,1182,38114
Gettysburg College,Gettysburg,PA,0.4804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2370,68990
Empire Beauty School-NE Philadelphia,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL
Gratz College,Melrose Park,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL
Grove City College,Grove City,PA,0.7943,576,691,554,693,NULL,NULL,1259,2187,NULL
Gwynedd Mercy University,Gwynedd Valley,PA,0.9515,470,560,460,540,400,500,1022,1836,47396
Harcum College,Bryn Mawr,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1299,37463
Harrisburg Area Community College,Harrisburg,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14458,15727
Haverford College,Haverford,PA,0.1632,680,750,700,790,670,770,1468,1308,73902
Commonwealth Technical Institute,Johnstown,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,193,32145
Holy Family University,Philadelphia,PA,0.7277,470,570,460,540,410,500,1022,1951,35659
Hussian College-Philadelphia,Philadelphia,PA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,128,30027
Immaculata University,Immaculata,PA,0.8101,480,590,460,570,430,550,1054,1304,43069
Indiana University of Pennsylvania-Main Campus,Indiana,PA,0.93,460,570,450,550,410,520,1017,8218,27912
UPMC Jameson School of Nursing,New Castle,PA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,24774
Great Lakes Institute of Technology,Erie,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,441,NULL
Jolie Hair and Beauty Academy-Wilkes-Barre,Wilkes Barre,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147,NULL
Johnson College,Scranton,PA,0.9748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,456,25462
Juniata College,Huntingdon,PA,0.7078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1271,59863
Keystone College,La Plume,PA,0.7874,480,560,400,510,380,480,974,1192,39522
King's College,Wilkes-Barre,PA,0.8094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2092,51077
Butler Beauty Academy-Kittanning Beauty Academy,Kittanning,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL
Kutztown University of Pennsylvania,Kutztown,PA,0.8992,490,580,480,560,410,510,1058,6858,27890
La Roche University,Pittsburgh,PA,0.9943,450,590,420,550,400,510,1008,1220,41821
La Salle University,Philadelphia,PA,0.7771,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3552,43052
Lackawanna College,Scranton,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1832,25837
Lafayette College,Easton,PA,0.3148,620,700,630,740,590,690,1363,2641,71270
Lancaster Bible College,Lancaster,PA,0.9601,500,600,480,580,NULL,NULL,1081,1574,35405
Lancaster Theological Seminary,Lancaster,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,256,NULL
Lansdale School of Business,North Wales,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,124,25139
Lansdale School of Cosmetology Inc,Lansdale,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
Lebanon Valley College,Annville,PA,0.7958,520,630,530,640,NULL,NULL,1165,1672,57495
